"M006001","M006002","M006003","M006004","M006005","M006007","M006009","M006011","M006013","M006015","M006017","M006019","M006021","M006023","M006025","M006026","M006028","M006029","M006031","M006033","M006035","M006037","M006039","M006040","M006041","M006042","M006043","M006044","M006045","M006046","M006047","M006048","M006049","M006050","M006051"
1,"COMPRA EN POS SUPERA LIMITE",0,"RR","","","","","","","","","","","00.00.00","00.00.00",0,"","",0,100000,0,"US0100","0","ilookr","2025-06-18 10:12:02.656341","","",0,"",0,"","","A","N"
2,"TRANSFERENCIA NOCTURNA (P. NAT) SUPERA LIMITE",0,"RR","","","","","","","","","","N","19.00.00","07.00.00",0,"","",0,1000000,0,"US0300","0","ilookr","2025-07-28 14:48:31.486543","","",0,"",0,"","","A","N"
3,"TRANSFERENCIA NOCTURNA (P. JUR) SUPERA LIMITE",0,"RR","","","","","","","","","","J","19.00.00","07.00.00",0,"","",0,1000000,0,"US0301","0","ilookr","2025-07-28 14:45:09.954060","","",0,"",0,"","","A","N"
4,"TRANSFERENCIA (P. NAT) SUPERA LIMITE ACUMULADO",0,"RR","","","","","","","","","","N","00.00.00","00.00.00",30,"M","",0,0,1000000,"US0302","0","ilookr","2025-07-28 14:51:02.891276","","",0,"",0,"","","A","N"
5,"TRANSFERENCIA (P. JUR) SUPERA LIMITE ACUMULADO",0,"RR","","","","","","","","","","J","00.00.00","00.00.00",30,"M","",0,0,1000000,"US0303","0","ilookr","2025-07-28 14:55:26.258945","","",0,"",0,"","","A","N"
6,"SUPERA CANTIDAD OPERACIONES EN 30 MIN (P. NAT)",0,"RR","","","","","","","","","","N","00.00.00","00.00.00",30,"M","",30,0,0,"US0304","0","ilookr","2025-06-18 11:13:57.765739","","",0,"",0,"","","A","N"
7,"SUPERA CANTIDAD OPERACIONES EN 30 MIN (P. JUR)",0,"RR","","","","","","","","","","J","00.00.00","00.00.00",30,"M","",30,0,0,"US0305","0","ilookr","2025-07-28 15:12:34.561720","","",0,"",0,"","","A","N"
8,"TRANSFERENCIA EN FERIADO SUPERA LIMITE (P. NAT)",0,"RR","","","","","","","","","","N","00.00.00","00.00.00",0,"","",0,1000000,0,"US0306","0","ilookr","2025-07-28 15:15:13.370388","","",0,"",0,"","","F","N"
9,"TRANSFERENCIA EN FERIADO SUPERA LIMITE (P. JUR)",0,"RR","","","","","","","","","","J","00.00.00","00.00.00",0,"","",0,1000000,0,"US0307","0","ilookr","2025-07-28 15:15:45.125889","","",0,"",0,"","","F","N"
10,"PAGO MOVIL SUPERA LIMITE ACUMULADO (P NAT)",0,"RR","","","","","","","","","","N","00.00.00","00.00.00",30,"M","",0,0,200000,"US0350","0","ilookr","2025-07-28 15:16:44.728373","","",0,"",0,"","","A","N"
11,"PAGO MOVIL SUPERA LIMITE ACUMULADO (P JUR)",0,"RR","","","","","","","","","","J","00.00.00","00.00.00",30,"M","",0,0,200000,"US0351","0","ilookr","2025-07-28 15:17:30.709938","","",0,"",0,"","","A","N"
