INFO 2025-10-25 13:03:14,835 logging [auth] [login] Conectado. Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
WARNING 2025-10-25 13:03:14,837 logging [MiddlewareAutenticacion] [access] Usuario no autenticado. Método: POST Path: /api/v1/auth/login/ Usuario: anonimo IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:03:24,824 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:06:04,805 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:07:11,652 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:10:02,279 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:17:42,277 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:19:21,118 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:23:35,610 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:24:19,657 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:27:17,939 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:31:14,516 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:32:41,449 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:33:45,805 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:37:00,672 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
INFO 2025-10-25 13:37:20,289 logging [MiddlewareAutenticacion] [access] Usuario autenticado. Método: POST Path: /api/v1/validar/lk1/ejecutar/ Usuario: mmolero IP: 127.0.0.1 UA: PostmanRuntime/7.49.0
